time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2023-09-01 00:00,6632.742,8968.231,999.657,2275.538
2023-09-01 00:15,6632.821,8968.231,999.657,2275.538
2023-09-01 00:30,6632.895,8968.231,999.657,2275.538
2023-09-01 00:45,6632.988,8968.231,999.657,2275.538
2023-09-01 01:00,6633.116,8968.231,999.657,2275.538
2023-09-01 01:15,6633.262,8968.231,999.657,2275.538
2023-09-01 01:30,6633.404,8968.231,999.657,2275.538
2023-09-01 01:45,6633.539,8968.231,999.657,2275.538
2023-09-01 02:00,6633.661,8968.231,999.657,2275.538
2023-09-01 02:15,6633.799,8968.231,999.657,2275.538
2023-09-01 02:30,6633.923,8968.231,999.657,2275.538
2023-09-01 02:45,6634.062,8968.231,999.657,2275.538
2023-09-01 03:00,6634.209,8968.231,999.657,2275.538
2023-09-01 03:15,6634.355,8968.231,999.657,2275.538
2023-09-01 03:30,6634.483,8968.231,999.657,2275.538
2023-09-01 03:45,6634.621,8968.231,999.657,2275.538
2023-09-01 04:00,6634.699,8968.231,999.657,2275.538
2023-09-01 04:15,6634.737,8968.231,999.657,2275.538
2023-09-01 04:30,6634.785,8968.231,999.657,2275.538
2023-09-01 04:45,6634.836,8968.231,999.657,2275.538
2023-09-01 05:00,6634.893,8968.231,999.657,2275.538
2023-09-01 05:15,6634.964,8968.231,999.657,2275.538
2023-09-01 05:30,6635.021,8968.231,999.657,2275.538
2023-09-01 05:45,6635.084,8968.231,999.657,2275.538
2023-09-01 06:00,6635.141,8968.231,999.657,2275.538
2023-09-01 06:15,6635.181,8968.231,999.657,2275.538
2023-09-01 06:30,6635.222,8968.231,999.657,2275.538
2023-09-01 06:45,6635.272,8968.231,999.657,2275.538
2023-09-01 07:00,6635.329,8968.231,999.657,2275.538
2023-09-01 07:15,6635.331,8968.291,999.657,2275.538
2023-09-01 07:30,6635.331,8968.351,999.657,2275.538
2023-09-01 07:45,6635.331,8968.389,999.657,2275.538
2023-09-01 08:00,6635.331,8968.406,999.657,2275.539
2023-09-01 08:15,6635.331,8968.409,999.657,2275.545
2023-09-01 08:30,6635.331,8968.544,999.657,2275.548
2023-09-01 08:45,6635.331,8968.608,999.657,2275.548
2023-09-01 09:00,6635.331,8968.821,999.657,2275.548
2023-09-01 09:15,6635.331,8968.838,999.657,2275.548
2023-09-01 09:30,6635.331,8968.840,999.657,2275.551
2023-09-01 09:45,6635.331,8968.841,999.657,2275.566
2023-09-01 10:00,6635.331,8968.844,999.657,2275.584
2023-09-01 10:15,6635.331,8968.844,999.657,2275.676
2023-09-01 10:30,6635.331,8968.844,999.657,2275.726
2023-09-01 10:45,6635.331,8968.844,999.657,2275.789
2023-09-01 11:00,6635.331,8968.844,999.657,2275.854
2023-09-01 11:15,6635.331,8969.309,999.657,2275.863
2023-09-01 11:30,6635.331,8969.309,999.657,2275.946
2023-09-01 11:45,6635.331,8969.309,999.657,2276.065
2023-09-01 12:00,6635.331,8969.309,999.657,2276.318
2023-09-01 12:15,6635.331,8969.309,999.657,2276.543
2023-09-01 12:30,6635.331,8969.453,999.657,2276.611
2023-09-01 12:45,6635.331,8969.621,999.657,2276.707
2023-09-01 13:00,6635.331,8969.687,999.657,2276.810
2023-09-01 13:15,6635.331,8969.701,999.657,2276.916
2023-09-01 13:30,6635.331,8969.714,999.657,2276.978
2023-09-01 13:45,6635.331,8969.747,999.657,2277.140
2023-09-01 14:00,6635.331,8969.798,999.657,2277.283
2023-09-01 14:15,6635.331,8969.806,999.657,2277.474
2023-09-01 14:30,6635.331,8969.806,999.657,2277.724
2023-09-01 14:45,6635.331,8969.806,999.657,2277.851
2023-09-01 15:00,6635.331,8969.806,999.657,2277.950
2023-09-01 15:15,6635.331,8969.806,999.657,2278.044
2023-09-01 15:30,6635.331,8969.806,999.657,2278.095
2023-09-01 15:45,6635.331,8969.806,999.657,2278.188
2023-09-01 16:00,6635.331,8969.806,999.657,2278.296
2023-09-01 16:15,6635.331,8969.807,999.657,2278.330
2023-09-01 16:30,6635.331,8969.807,999.657,2278.409
2023-09-01 16:45,6635.331,8970.124,999.657,2278.455
2023-09-01 17:00,6635.331,8970.283,999.657,2278.494
2023-09-01 17:15,6635.331,8970.686,999.657,2278.504
2023-09-01 17:30,6635.331,8971.195,999.657,2278.506
2023-09-01 17:45,6635.331,8971.608,999.657,2278.506
2023-09-01 18:00,6635.331,8971.798,999.657,2278.517
2023-09-01 18:15,6635.331,8972.033,999.657,2278.520
2023-09-01 18:30,6635.331,8972.476,999.657,2278.520
2023-09-01 18:45,6635.331,8972.839,999.657,2278.520
2023-09-01 19:00,6635.331,8973.049,999.657,2278.520
2023-09-01 19:15,6635.331,8973.132,999.657,2278.520
2023-09-01 19:30,6635.331,8973.448,999.657,2278.520
2023-09-01 19:45,6635.331,8973.736,999.657,2278.520
2023-09-01 20:00,6635.331,8973.865,999.657,2278.520
2023-09-01 20:15,6635.331,8973.994,999.657,2278.520
2023-09-01 20:30,6635.331,8974.139,999.657,2278.520
2023-09-01 20:45,6635.331,8974.269,999.657,2278.520
2023-09-01 21:00,6635.331,8974.377,999.657,2278.520
2023-09-01 21:15,6635.331,8974.455,999.657,2278.520
2023-09-01 21:30,6635.331,8974.524,999.657,2278.520
2023-09-01 21:45,6635.331,8974.620,999.657,2278.520
2023-09-01 22:00,6635.331,8974.730,999.657,2278.520
2023-09-01 22:15,6635.331,8974.858,999.657,2278.520
2023-09-01 22:30,6635.331,8974.985,999.657,2278.520
2023-09-01 22:45,6635.331,8975.120,999.657,2278.520
2023-09-01 23:00,6635.331,8975.221,999.657,2278.520
2023-09-01 23:15,6635.441,8975.224,999.657,2278.520
2023-09-01 23:30,6635.544,8975.224,999.657,2278.520
2023-09-01 23:45,6635.670,8975.224,999.657,2278.520
2023-09-02 00:00,6635.780,8975.224,999.657,2278.520
2023-09-02 00:15,6635.877,8975.224,999.657,2278.520
2023-09-02 00:30,6635.971,8975.224,999.657,2278.520
2023-09-02 00:45,6636.077,8975.224,999.657,2278.520
2023-09-02 01:00,6636.152,8975.224,999.657,2278.520
2023-09-02 01:15,6636.235,8975.224,999.657,2278.520
2023-09-02 01:30,6636.318,8975.224,999.657,2278.520
2023-09-02 01:45,6636.394,8975.224,999.657,2278.520
2023-09-02 02:00,6636.490,8975.224,999.657,2278.520
2023-09-02 02:15,6636.594,8975.224,999.657,2278.520
