time,Total gas used
2023-09-01 00:00,2583.354
2023-09-01 00:15,2583.354
2023-09-01 00:30,2583.354
2023-09-01 00:45,2583.359
2023-09-01 01:00,2583.359
2023-09-01 01:15,2583.359
2023-09-01 01:30,2583.359
2023-09-01 01:45,2583.359
2023-09-01 02:00,2583.359
2023-09-01 02:15,2583.364
2023-09-01 02:30,2583.364
2023-09-01 02:45,2583.364
2023-09-01 03:00,2583.364
2023-09-01 03:15,2583.364
2023-09-01 03:30,2583.368
2023-09-01 03:45,2583.368
2023-09-01 04:00,2583.368
2023-09-01 04:15,2583.368
2023-09-01 04:30,2583.368
2023-09-01 04:45,2583.368
2023-09-01 05:00,2583.373
2023-09-01 05:15,2583.373
2023-09-01 05:30,2583.373
2023-09-01 05:45,2583.373
2023-09-01 06:00,2583.373
2023-09-01 06:15,2583.378
2023-09-01 06:30,2583.378
2023-09-01 06:45,2583.378
2023-09-01 07:00,2583.378
2023-09-01 07:15,2583.378
2023-09-01 07:30,2583.378
2023-09-01 07:45,2583.382
2023-09-01 08:00,2583.392
2023-09-01 08:15,2583.415
2023-09-01 08:30,2583.415
2023-09-01 08:45,2583.415
2023-09-01 09:00,2583.415
2023-09-01 09:15,2583.415
2023-09-01 09:30,2583.415
2023-09-01 09:45,2583.415
2023-09-01 10:00,2583.415
2023-09-01 10:15,2583.415
2023-09-01 10:30,2583.415
2023-09-01 10:45,2583.415
2023-09-01 11:00,2583.415
2023-09-01 11:15,2583.421
2023-09-01 11:30,2583.421
2023-09-01 11:45,2583.421
2023-09-01 12:00,2583.421
2023-09-01 12:15,2583.421
2023-09-01 12:30,2583.426
2023-09-01 12:45,2583.662
2023-09-01 13:00,2583.674
2023-09-01 13:15,2583.674
2023-09-01 13:30,2583.675
2023-09-01 13:45,2583.675
2023-09-01 14:00,2583.675
2023-09-01 14:15,2583.675
2023-09-01 14:30,2583.675
2023-09-01 14:45,2583.705
2023-09-01 15:00,2583.713
2023-09-01 15:15,2583.713
2023-09-01 15:30,2583.713
2023-09-01 15:45,2583.713
2023-09-01 16:00,2583.947
2023-09-01 16:15,2583.947
2023-09-01 16:30,2583.947
2023-09-01 16:45,2583.964
2023-09-01 17:00,2584.015
2023-09-01 17:15,2584.031
2023-09-01 17:30,2584.031
2023-09-01 17:45,2584.186
2023-09-01 18:00,2584.365
2023-09-01 18:15,2584.437
2023-09-01 18:30,2584.443
2023-09-01 18:45,2584.443
2023-09-01 19:00,2584.443
2023-09-01 19:15,2584.443
2023-09-01 19:30,2584.451
2023-09-01 19:45,2584.453
2023-09-01 20:00,2584.453
2023-09-01 20:15,2584.453
2023-09-01 20:30,2584.453
2023-09-01 20:45,2584.453
2023-09-01 21:00,2584.457
2023-09-01 21:15,2584.457
2023-09-01 21:30,2584.457
2023-09-01 21:45,2584.589
2023-09-01 22:00,2584.676
2023-09-01 22:15,2584.690
2023-09-01 22:30,2584.690
2023-09-01 22:45,2584.690
2023-09-01 23:00,2584.690
2023-09-01 23:15,2584.697
2023-09-01 23:30,2584.700
2023-09-01 23:45,2584.700
2023-09-02 00:00,2584.703
2023-09-02 00:15,2584.703
2023-09-02 00:30,2584.703
2023-09-02 00:45,2584.703
2023-09-02 01:00,2584.703
2023-09-02 01:15,2584.703
2023-09-02 01:30,2584.707
2023-09-02 01:45,2584.707
2023-09-02 02:00,2584.707
2023-09-02 02:15,2584.707
2023-09-02 02:30,2584.707
2023-09-02 02:45,2584.712
2023-09-02 03:00,2584.712
2023-09-02 03:15,2584.712
2023-09-02 03:30,2584.712
2023-09-02 03:45,2584.712
2023-09-02 04:00,2584.712
2023-09-02 04:15,2584.716
2023-09-02 04:30,2584.716
2023-09-02 04:45,2584.716
2023-09-02 05:00,2584.716
2023-09-02 05:15,2584.716
2023-09-02 05:30,2584.716
2023-09-02 05:45,2584.721
2023-09-02 06:00,2584.721
2023-09-02 06:15,2584.721
2023-09-02 06:30,2584.721
2023-09-02 06:45,2584.721
2023-09-02 07:00,2584.725
2023-09-02 07:15,2584.725
2023-09-02 07:30,2584.725
2023-09-02 07:45,2584.725
2023-09-02 08:00,2584.725
2023-09-02 08:15,2584.725
2023-09-02 08:30,2584.730
2023-09-02 08:45,2584.730
2023-09-02 09:00,2584.730
2023-09-02 09:15,2584.739
2023-09-02 09:30,2584.739
2023-09-02 09:45,2584.744
2023-09-02 10:00,2584.766
2023-09-02 10:15,2584.767
2023-09-02 10:30,2584.788
2023-09-02 10:45,2584.789
2023-09-02 11:00,2584.790
2023-09-02 11:15,2584.805
2023-09-02 11:30,2584.805
2023-09-02 11:45,2584.886
2023-09-02 12:00,2584.977
2023-09-02 12:15,2585.027
2023-09-02 12:30,2585.047
2023-09-02 12:45,2585.047
2023-09-02 13:00,2585.047
2023-09-02 13:15,2585.257
2023-09-02 13:30,2585.325
2023-09-02 13:45,2585.330
2023-09-02 14:00,2585.345
2023-09-02 14:15,2585.352
2023-09-02 14:30,2585.352
2023-09-02 14:45,2585.352
2023-09-02 15:00,2585.352
2023-09-02 15:15,2585.352
2023-09-02 15:30,2585.352
2023-09-02 15:45,2585.356
2023-09-02 16:00,2585.356
2023-09-02 16:15,2585.356
2023-09-02 16:30,2585.356
2023-09-02 16:45,2585.356
2023-09-02 17:00,2585.356
2023-09-02 17:15,2585.360
2023-09-02 17:30,2585.360
2023-09-02 17:45,2585.360
2023-09-02 18:00,2585.360
2023-09-02 18:15,2585.360
2023-09-02 18:30,2585.364
2023-09-02 18:45,2585.364
2023-09-02 19:00,2585.364
2023-09-02 19:15,2585.364
2023-09-02 19:30,2585.364
2023-09-02 19:45,2585.364
2023-09-02 20:00,2585.368
2023-09-02 20:15,2585.368
2023-09-02 20:30,2585.368
2023-09-02 20:45,2585.368
2023-09-02 21:00,2585.368
2023-09-02 21:15,2585.368
2023-09-02 21:30,2585.373
2023-09-02 21:45,2585.373
2023-09-02 22:00,2585.373
2023-09-02 22:15,2585.373
2023-09-02 22:30,2585.373
2023-09-02 22:45,2585.377
2023-09-02 23:00,2585.377
2023-09-02 23:15,2585.377
2023-09-02 23:30,2585.377
2023-09-02 23:45,2585.377
2023-09-03 00:00,2585.377
2023-09-03 00:15,2585.382
2023-09-03 00:30,2585.382
2023-09-03 00:45,2585.514
2023-09-03 01:00,2585.541
2023-09-03 01:15,2585.548
2023-09-03 01:30,2585.548
2023-09-03 01:45,2585.555
2023-09-03 02:00,2585.555
2023-09-03 02:15,2585.555
2023-09-03 02:30,2585.555
2023-09-03 02:45,2585.555
2023-09-03 03:00,2585.555
2023-09-03 03:15,2585.555
2023-09-03 03:30,2585.555
2023-09-03 03:45,2585.555
2023-09-03 04:00,2585.555
2023-09-03 04:15,2585.555
2023-09-03 04:30,2585.555
2023-09-03 04:45,2585.560
2023-09-03 05:00,2585.560
2023-09-03 05:15,2585.560
2023-09-03 05:30,2585.560
2023-09-03 05:45,2585.560
2023-09-03 06:00,2585.565
2023-09-03 06:15,2585.565
2023-09-03 06:30,2585.565
2023-09-03 06:45,2585.565
2023-09-03 07:00,2585.565
2023-09-03 07:15,2585.565
2023-09-03 07:30,2585.569
2023-09-03 07:45,2585.569
2023-09-03 08:00,2585.569
2023-09-03 08:15,2585.569
2023-09-03 08:30,2585.571
2023-09-03 08:45,2585.584
2023-09-03 09:00,2585.584
2023-09-03 09:15,2585.584
2023-09-03 09:30,2585.584
2023-09-03 09:45,2585.584
2023-09-03 10:00,2585.589
2023-09-03 10:15,2585.602
2023-09-03 10:30,2585.602
2023-09-03 10:45,2585.602
2023-09-03 11:00,2585.610
2023-09-03 11:15,2585.610
2023-09-03 11:30,2585.610
2023-09-03 11:45,2585.610
2023-09-03 12:00,2585.610
2023-09-03 12:15,2585.610
2023-09-03 12:30,2585.610
2023-09-03 12:45,2585.610
2023-09-03 13:00,2585.614
2023-09-03 13:15,2585.614
2023-09-03 13:30,2585.614
2023-09-03 13:45,2585.614
2023-09-03 14:00,2585.614
2023-09-03 14:15,2585.614
2023-09-03 14:30,2585.618
2023-09-03 14:45,2585.618
2023-09-03 15:00,2585.618
2023-09-03 15:15,2585.618
2023-09-03 15:30,2585.618
2023-09-03 15:45,2585.623
2023-09-03 16:00,2585.623
2023-09-03 16:15,2585.623
2023-09-03 16:30,2585.635
2023-09-03 16:45,2585.659
2023-09-03 17:00,2585.659
2023-09-03 17:15,2585.659
2023-09-03 17:30,2585.659
2023-09-03 17:45,2585.659
2023-09-03 18:00,2585.659
2023-09-03 18:15,2585.836
2023-09-03 18:30,2585.836
2023-09-03 18:45,2585.836
2023-09-03 19:00,2585.836
2023-09-03 19:15,2585.836
2023-09-03 19:30,2585.836
2023-09-03 19:45,2585.839
2023-09-03 20:00,2585.839
2023-09-03 20:15,2585.839
2023-09-03 20:30,2585.839
2023-09-03 20:45,2585.839
2023-09-03 21:00,2585.839
2023-09-03 21:15,2585.843
2023-09-03 21:30,2585.843
2023-09-03 21:45,2585.847
2023-09-03 22:00,2585.997
2023-09-03 22:15,2585.997
2023-09-03 22:30,2585.997
2023-09-03 22:45,2585.997
2023-09-03 23:00,2586.002
2023-09-03 23:15,2586.010
2023-09-03 23:30,2586.010
2023-09-03 23:45,2586.010
2023-09-04 00:00,2586.010
2023-09-04 00:15,2586.010
2023-09-04 00:30,2586.013
2023-09-04 00:45,2586.013
2023-09-04 01:00,2586.013
2023-09-04 01:15,2586.013
2023-09-04 01:30,2586.013
2023-09-04 01:45,2586.013
2023-09-04 02:00,2586.017
2023-09-04 02:15,2586.017
2023-09-04 02:30,2586.017
2023-09-04 02:45,2586.017
2023-09-04 03:00,2586.017
2023-09-04 03:15,2586.022
2023-09-04 03:30,2586.022
2023-09-04 03:45,2586.022
2023-09-04 04:00,2586.022
2023-09-04 04:15,2586.022
2023-09-04 04:30,2586.022
2023-09-04 04:45,2586.026
2023-09-04 05:00,2586.026
2023-09-04 05:15,2586.026
2023-09-04 05:30,2586.026
2023-09-04 05:45,2586.026
2023-09-04 06:00,2586.031
2023-09-04 06:15,2586.035
2023-09-04 06:30,2586.035
2023-09-04 06:45,2586.035
2023-09-04 07:00,2586.035
2023-09-04 07:15,2586.039
2023-09-04 07:30,2586.039
2023-09-04 07:45,2586.039
2023-09-04 08:00,2586.039
2023-09-04 08:15,2586.039
2023-09-04 08:30,2586.039
2023-09-04 08:45,2586.044
2023-09-04 09:00,2586.044
2023-09-04 09:15,2586.044
2023-09-04 09:30,2586.044
2023-09-04 09:45,2586.044
2023-09-04 10:00,2586.048
2023-09-04 10:15,2586.048
2023-09-04 10:30,2586.048
2023-09-04 10:45,2586.048
2023-09-04 11:00,2586.048
2023-09-04 11:15,2586.048
2023-09-04 11:30,2586.053
2023-09-04 11:45,2586.190
2023-09-04 12:00,2586.190
2023-09-04 12:15,2586.190
2023-09-04 12:30,2586.190
2023-09-04 12:45,2586.190
2023-09-04 13:00,2586.474
2023-09-04 13:15,2586.646
2023-09-04 13:30,2586.646
2023-09-04 13:45,2586.646
2023-09-04 14:00,2586.646
2023-09-04 14:15,2586.646
2023-09-04 14:30,2586.646
2023-09-04 14:45,2586.646
2023-09-04 15:00,2586.646
2023-09-04 15:15,2586.646
2023-09-04 15:30,2586.646
2023-09-04 15:45,2586.646
2023-09-04 16:00,2586.651
2023-09-04 16:15,2586.651
2023-09-04 16:30,2586.651
2023-09-04 16:45,2586.651
2023-09-04 17:00,2586.651
2023-09-04 17:15,2586.651
